CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Vốn Và Các Quỹ,Q4 2022,8.35,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q4 2022,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q4 2022,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q4 2022,15.42,PIV
TỔNG TÀI SẢN,Q1 2023,3.81,PIV
TÀI SẢN NGẮN HẠN,Q1 2023,3.77,PIV
Tiền Và Tương Đương Tiền,Q1 2023,1.23,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q1 2023,0.00,PIV
Các Khoản Phải Thu,Q1 2023,0.14,PIV
"Hàng Tồn Kho, Ròng",Q1 2023,1.94,PIV
Tài Sản Lưu Động Khác,Q1 2023,0.47,PIV
TÀI SẢN DÀI HẠN,Q1 2023,0.04,PIV
Phải Thu Dài Hạn,Q1 2023,0.00,PIV
Tài Sản Cố Định,Q1 2023,0.04,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2023,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q1 2023,0.00,PIV
Đầu Tư Dài Hạn,Q1 2023,0.00,PIV
Tài Sản Dài Hạn Khác,Q1 2023,0.00,PIV
NỢ PHẢI TRẢ,Q1 2023,0.38,PIV
Nợ Ngắn Hạn,Q1 2023,0.38,PIV
Nợ Dài Hạn,Q1 2023,0.00,PIV
VỐN CHỦ SỞ HỮU,Q1 2023,3.43,PIV
Vốn Và Các Quỹ,Q1 2023,3.43,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q1 2023,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q1 2023,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q1 2023,3.81,PIV
TỔNG TÀI SẢN,Q2 2023,5.14,PIV
TÀI SẢN NGẮN HẠN,Q2 2023,4.80,PIV
Tiền Và Tương Đương Tiền,Q2 2023,0.77,PIV
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2023,0.00,PIV
Các Khoản Phải Thu,Q2 2023,2.09,PIV
"Hàng Tồn Kho, Ròng",Q2 2023,1.55,PIV
Tài Sản Lưu Động Khác,Q2 2023,0.39,PIV
TÀI SẢN DÀI HẠN,Q2 2023,0.34,PIV
Phải Thu Dài Hạn,Q2 2023,0.00,PIV
Tài Sản Cố Định,Q2 2023,0.19,PIV
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2023,0.00,PIV
Tài Sản Dở Dang Dài Hạn,Q2 2023,0.06,PIV
Đầu Tư Dài Hạn,Q2 2023,0.00,PIV
Tài Sản Dài Hạn Khác,Q2 2023,0.10,PIV
NỢ PHẢI TRẢ,Q2 2023,1.52,PIV
Nợ Ngắn Hạn,Q2 2023,0.37,PIV
Nợ Dài Hạn,Q2 2023,1.15,PIV
VỐN CHỦ SỞ HỮU,Q2 2023,3.62,PIV
Vốn Và Các Quỹ,Q2 2023,3.62,PIV
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2023,0.00,PIV
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2023,0.00,PIV
TỔNG CỘNG NGUỒN VỐN,Q2 2023,5.14,PIV
TỔNG TÀI SẢN,Q3 2023,5.04,PIV
