CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
"Hàng Tồn Kho, Ròng",Q1 2024,0.00,PLA
Tài Sản Lưu Động Khác,Q1 2024,128.98,PLA
TÀI SẢN DÀI HẠN,Q1 2024,"3,530.72",PLA
Phải Thu Dài Hạn,Q1 2024,0.00,PLA
Tài Sản Cố Định,Q1 2024,249.14,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q1 2024,238.74,PLA
Tài Sản Dở Dang Dài Hạn,Q1 2024,38.90,PLA
Đầu Tư Dài Hạn,Q1 2024,"2,873.86",PLA
Tài Sản Dài Hạn Khác,Q1 2024,130.08,PLA
NỢ PHẢI TRẢ,Q1 2024,"41,467.42",PLA
Nợ Ngắn Hạn,Q1 2024,"41,413.28",PLA
Nợ Dài Hạn,Q1 2024,54.13,PLA
VỐN CHỦ SỞ HỮU,Q1 2024,"24,020.90",PLA
Vốn Và Các Quỹ,Q1 2024,"24,020.90",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q1 2024,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q1 2024,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q1 2024,"65,488.32",PLA
TỔNG TÀI SẢN,Q2 2024,"71,107.55",PLA
TÀI SẢN NGẮN HẠN,Q2 2024,"67,557.58",PLA
Tiền Và Tương Đương Tiền,Q2 2024,"2,131.57",PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2024,"64,359.29",PLA
Các Khoản Phải Thu,Q2 2024,959.96,PLA
"Hàng Tồn Kho, Ròng",Q2 2024,0.00,PLA
Tài Sản Lưu Động Khác,Q2 2024,106.76,PLA
TÀI SẢN DÀI HẠN,Q2 2024,"3,549.97",PLA
Phải Thu Dài Hạn,Q2 2024,0.00,PLA
Tài Sản Cố Định,Q2 2024,228.15,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2024,242.35,PLA
Tài Sản Dở Dang Dài Hạn,Q2 2024,47.97,PLA
Đầu Tư Dài Hạn,Q2 2024,"2,902.88",PLA
Tài Sản Dài Hạn Khác,Q2 2024,128.63,PLA
NỢ PHẢI TRẢ,Q2 2024,"46,267.81",PLA
Nợ Ngắn Hạn,Q2 2024,"46,201.43",PLA
Nợ Dài Hạn,Q2 2024,66.38,PLA
VỐN CHỦ SỞ HỮU,Q2 2024,"24,839.74",PLA
Vốn Và Các Quỹ,Q2 2024,"24,839.74",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2024,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2024,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q2 2024,"71,107.55",PLA
TỔNG TÀI SẢN,Q3 2024,"66,181.22",PLA
TÀI SẢN NGẮN HẠN,Q3 2024,"64,283.67",PLA
Tiền Và Tương Đương Tiền,Q3 2024,661.29,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2024,"62,354.94",PLA
Các Khoản Phải Thu,Q3 2024,"1,062.42",PLA
"Hàng Tồn Kho, Ròng",Q3 2024,0.00,PLA
Tài Sản Lưu Động Khác,Q3 2024,205.02,PLA
TÀI SẢN DÀI HẠN,Q3 2024,"1,897.54",PLA
Phải Thu Dài Hạn,Q3 2024,0.00,PLA
Tài Sản Cố Định,Q3 2024,234.61,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2024,231.82,PLA
Tài Sản Dở Dang Dài Hạn,Q3 2024,25.68,PLA
Đầu Tư Dài Hạn,Q3 2024,"1,280.93",PLA
Tài Sản Dài Hạn Khác,Q3 2024,124.51,PLA
NỢ PHẢI TRẢ,Q3 2024,"42,066.41",PLA
Nợ Ngắn Hạn,Q3 2024,"41,980.69",PLA
Nợ Dài Hạn,Q3 2024,85.72,PLA
VỐN CHỦ SỞ HỮU,Q3 2024,"24,114.81",PLA
Vốn Và Các Quỹ,Q3 2024,"24,114.81",PLA
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2024,0.00,PLA
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2024,0.00,PLA
TỔNG CỘNG NGUỒN VỐN,Q3 2024,"66,181.22",PLA
TỔNG TÀI SẢN,Q2 2017,"16,390.42",PLA
TÀI SẢN NGẮN HẠN,Q2 2017,"14,357.47",PLA
Tiền Và Tương Đương Tiền,Q2 2017,821.23,PLA
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2017,"13,324.20",PLA
Các Khoản Phải Thu,Q2 2017,94.84,PLA
"Hàng Tồn Kho, Ròng",Q2 2017,0.00,PLA
Tài Sản Lưu Động Khác,Q2 2017,161.59,PLA
TÀI SẢN DÀI HẠN,Q2 2017,"2,032.95",PLA
Phải Thu Dài Hạn,Q2 2017,0.00,PLA
Tài Sản Cố Định,Q2 2017,141.51,PLA
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2017,256.45,PLA
