CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2020,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2020,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2020,-0.07,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2020,0.49,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2020,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2020,0.41,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2013,3.69,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2013,-0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2013,0.45,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2013,0.58,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2013,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2013,1.03,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2014,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2014,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2014,0.11,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q1 2014,1.03,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q1 2014,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q1 2014,1.14,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2014,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2014,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2014,-0.84,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2014,1.11,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2014,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2014,0.27,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2015,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2015,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2015,-1.24,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q1 2015,2.84,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q1 2015,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q1 2015,1.60,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2015,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2015,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2015,7.09,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2015,1.60,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2015,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2015,8.70,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2015,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2015,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2015,5.82,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2015,8.70,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2015,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2015,14.51,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2015,-0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2015,0.00,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2015,1.62,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2015,14.51,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2015,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2015,16.14,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2016,-120.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2016,137.98,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2016,-8.21,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q1 2016,16.14,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q1 2016,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q1 2016,7.92,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2016,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2016,0.02,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q2 2016,-4.64,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q2 2016,7.92,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q2 2016,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q2 2016,3.28,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2016,-0.08,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2016,-7.13,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2016,4.79,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2016,3.28,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2016,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2016,8.07,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q4 2016,-0.01,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q4 2016,7.11,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q4 2016,-5.89,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q4 2016,8.07,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q4 2016,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q4 2016,2.19,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q1 2017,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q1 2017,28.01,PIV
Lưu Chuyển Tiền Thuần Trong Kỳ,Q1 2017,-1.01,PIV
Tiền Và Tương Đương Tiền Đầu Kỳ,Q1 2017,2.09,PIV
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q1 2017,0.00,PIV
Tiền Và Tương Đương Tiền Cuối Kỳ,Q1 2017,1.07,PIV
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q2 2017,0.00,PIV
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q2 2017,19.02,PIV
