CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
TỔNG CỘNG NGUỒN VỐN,Q1 2024,"8,481.66",AGG
TỔNG TÀI SẢN,Q2 2024,"8,197.17",AGG
TÀI SẢN NGẮN HẠN,Q2 2024,"7,145.89",AGG
Tiền Và Tương Đương Tiền,Q2 2024,212.30,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2024,36.81,AGG
Các Khoản Phải Thu,Q2 2024,"5,670.49",AGG
"Hàng Tồn Kho, Ròng",Q2 2024,"1,084.27",AGG
Tài Sản Lưu Động Khác,Q2 2024,142.02,AGG
TÀI SẢN DÀI HẠN,Q2 2024,"1,051.28",AGG
Phải Thu Dài Hạn,Q2 2024,772.78,AGG
Tài Sản Cố Định,Q2 2024,24.23,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2024,62.46,AGG
Tài Sản Dở Dang Dài Hạn,Q2 2024,0.00,AGG
Đầu Tư Dài Hạn,Q2 2024,89.42,AGG
Tài Sản Dài Hạn Khác,Q2 2024,102.39,AGG
NỢ PHẢI TRẢ,Q2 2024,"5,105.32",AGG
Nợ Ngắn Hạn,Q2 2024,"4,432.11",AGG
Nợ Dài Hạn,Q2 2024,673.21,AGG
VỐN CHỦ SỞ HỮU,Q2 2024,"3,091.85",AGG
Vốn Và Các Quỹ,Q2 2024,"3,091.85",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2024,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2024,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q2 2024,"8,197.17",AGG
TỔNG TÀI SẢN,Q3 2024,"7,204.56",AGG
TÀI SẢN NGẮN HẠN,Q3 2024,"6,236.77",AGG
Tiền Và Tương Đương Tiền,Q3 2024,100.48,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2024,76.10,AGG
Các Khoản Phải Thu,Q3 2024,"5,028.79",AGG
"Hàng Tồn Kho, Ròng",Q3 2024,899.79,AGG
Tài Sản Lưu Động Khác,Q3 2024,131.60,AGG
TÀI SẢN DÀI HẠN,Q3 2024,967.78,AGG
Phải Thu Dài Hạn,Q3 2024,688.42,AGG
Tài Sản Cố Định,Q3 2024,22.15,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2024,63.80,AGG
Tài Sản Dở Dang Dài Hạn,Q3 2024,0.00,AGG
Đầu Tư Dài Hạn,Q3 2024,89.42,AGG
Tài Sản Dài Hạn Khác,Q3 2024,103.99,AGG
NỢ PHẢI TRẢ,Q3 2024,"4,088.54",AGG
Nợ Ngắn Hạn,Q3 2024,"3,456.26",AGG
Nợ Dài Hạn,Q3 2024,632.28,AGG
VỐN CHỦ SỞ HỮU,Q3 2024,"3,116.02",AGG
Vốn Và Các Quỹ,Q3 2024,"3,116.02",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2024,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2024,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q3 2024,"7,204.56",AGG
TỔNG TÀI SẢN,Q2 2019,"1,968.31",AGG
TÀI SẢN NGẮN HẠN,Q2 2019,"1,304.80",AGG
Tiền Và Tương Đương Tiền,Q2 2019,21.16,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q2 2019,158.11,AGG
Các Khoản Phải Thu,Q2 2019,"1,108.30",AGG
"Hàng Tồn Kho, Ròng",Q2 2019,12.68,AGG
Tài Sản Lưu Động Khác,Q2 2019,4.55,AGG
TÀI SẢN DÀI HẠN,Q2 2019,663.51,AGG
Phải Thu Dài Hạn,Q2 2019,251.71,AGG
Tài Sản Cố Định,Q2 2019,9.36,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q2 2019,44.98,AGG
Tài Sản Dở Dang Dài Hạn,Q2 2019,0.32,AGG
Đầu Tư Dài Hạn,Q2 2019,334.50,AGG
Tài Sản Dài Hạn Khác,Q2 2019,22.64,AGG
NỢ PHẢI TRẢ,Q2 2019,948.43,AGG
Nợ Ngắn Hạn,Q2 2019,816.34,AGG
Nợ Dài Hạn,Q2 2019,132.09,AGG
VỐN CHỦ SỞ HỮU,Q2 2019,"1,019.88",AGG
Vốn Và Các Quỹ,Q2 2019,"1,019.88",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q2 2019,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q2 2019,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q2 2019,"1,968.31",AGG
TỔNG TÀI SẢN,Q3 2019,"2,113.10",AGG
TÀI SẢN NGẮN HẠN,Q3 2019,"1,437.66",AGG
Tiền Và Tương Đương Tiền,Q3 2019,119.41,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q3 2019,158.42,AGG
Các Khoản Phải Thu,Q3 2019,"1,136.91",AGG
"Hàng Tồn Kho, Ròng",Q3 2019,13.64,AGG
Tài Sản Lưu Động Khác,Q3 2019,9.28,AGG
TÀI SẢN DÀI HẠN,Q3 2019,675.44,AGG
Phải Thu Dài Hạn,Q3 2019,208.27,AGG
Tài Sản Cố Định,Q3 2019,8.84,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q3 2019,44.80,AGG
Tài Sản Dở Dang Dài Hạn,Q3 2019,0.00,AGG
Đầu Tư Dài Hạn,Q3 2019,390.99,AGG
Tài Sản Dài Hạn Khác,Q3 2019,22.53,AGG
NỢ PHẢI TRẢ,Q3 2019,949.20,AGG
Nợ Ngắn Hạn,Q3 2019,818.56,AGG
Nợ Dài Hạn,Q3 2019,130.64,AGG
VỐN CHỦ SỞ HỮU,Q3 2019,"1,163.90",AGG
Vốn Và Các Quỹ,Q3 2019,"1,163.90",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q3 2019,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q3 2019,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q3 2019,"2,113.10",AGG
TỔNG TÀI SẢN,Q4 2019,"5,397.92",AGG
TÀI SẢN NGẮN HẠN,Q4 2019,"4,246.51",AGG
Tiền Và Tương Đương Tiền,Q4 2019,138.17,AGG
Giá Trị Thuần Đầu Tư Ngắn Hạn,Q4 2019,140.25,AGG
Các Khoản Phải Thu,Q4 2019,"1,306.93",AGG
"Hàng Tồn Kho, Ròng",Q4 2019,"2,611.88",AGG
Tài Sản Lưu Động Khác,Q4 2019,49.28,AGG
TÀI SẢN DÀI HẠN,Q4 2019,"1,151.41",AGG
Phải Thu Dài Hạn,Q4 2019,37.38,AGG
Tài Sản Cố Định,Q4 2019,10.98,AGG
Giá Trị Ròng Tài Sản Đầu Tư,Q4 2019,44.63,AGG
Tài Sản Dở Dang Dài Hạn,Q4 2019,3.17,AGG
Đầu Tư Dài Hạn,Q4 2019,582.99,AGG
Tài Sản Dài Hạn Khác,Q4 2019,472.27,AGG
NỢ PHẢI TRẢ,Q4 2019,"3,945.46",AGG
Nợ Ngắn Hạn,Q4 2019,"2,988.18",AGG
Nợ Dài Hạn,Q4 2019,957.29,AGG
VỐN CHỦ SỞ HỮU,Q4 2019,"1,452.46",AGG
Vốn Và Các Quỹ,Q4 2019,"1,452.46",AGG
"Quỹ Khen Thưởng, Phúc Lợi (Trước 2010)",Q4 2019,0.00,AGG
LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,Q4 2019,0.00,AGG
TỔNG CỘNG NGUỒN VỐN,Q4 2019,"5,397.92",AGG
TỔNG TÀI SẢN,Q1 2020,"5,630.75",AGG
TÀI SẢN NGẮN HẠN,Q1 2020,"4,778.74",AGG
