CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Giá Vốn Hàng Bán,Q3 2023,"-1,363.49",AGG
Lãi Gộp,Q3 2023,485.14,AGG
Thu Nhập Tài Chính,Q3 2023,92.73,AGG
Chi Phí Tài Chính,Q3 2023,-74.19,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q3 2023,-19.71,AGG
Chi Phí Bán Hàng,Q3 2023,-181.70,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q3 2023,-15.01,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q3 2023,287.26,AGG
"Thu Nhập Khác, Ròng",Q3 2023,33.07,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q3 2023,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q3 2023,320.32,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q3 2023,-114.52,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q3 2023,205.80,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q3 2023,152.10,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q3 2023,53.70,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q3 2023,430,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q3 2023,430,AGG
EBITDA,Q3 2023,289.64,AGG
Các Khoản Giảm Trừ,Q4 2023,0.00,AGG
Doanh Số Thuần,Q4 2023,176.57,AGG
Giá Vốn Hàng Bán,Q4 2023,-118.25,AGG
Lãi Gộp,Q4 2023,58.32,AGG
Thu Nhập Tài Chính,Q4 2023,104.18,AGG
Chi Phí Tài Chính,Q4 2023,-36.69,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q4 2023,-6.73,AGG
Chi Phí Bán Hàng,Q4 2023,-51.17,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q4 2023,-19.41,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q4 2023,48.50,AGG
"Thu Nhập Khác, Ròng",Q4 2023,16.37,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Trước Năm 2015),Q4 2023,0.00,AGG
Lãi/(Lỗ) Ròng Trước Thuế,Q4 2023,64.87,AGG
Chi Phí Thuế Thu Nhập Doanh Nghiệp,Q4 2023,44.44,AGG
Lãi/(Lỗ) Thuần Sau Thuế,Q4 2023,109.31,AGG
Lợi Ích Của Cổ Đông Thiểu Số,Q4 2023,68.65,AGG
Lợi Nhuận Của Cổ Đông Của Công Ty Mẹ,Q4 2023,40.65,AGG
Lãi Cơ Bản Trên Cổ Phiếu (VND),Q4 2023,325,AGG
Lãi Trên Cổ Phiếu Pha Loãng (VND),Q4 2023,325,AGG
EBITDA,Q4 2023,-10.57,AGG
Các Khoản Giảm Trừ,Q1 2024,0.00,AGG
Doanh Số Thuần,Q1 2024,"1,312.79",AGG
Giá Vốn Hàng Bán,Q1 2024,-871.81,AGG
Lãi Gộp,Q1 2024,440.98,AGG
Thu Nhập Tài Chính,Q1 2024,108.21,AGG
Chi Phí Tài Chính,Q1 2024,-76.13,AGG
Lãi/(Lỗ) Từ Công Ty Liên Doanh (Từ Năm 2015),Q1 2024,0.00,AGG
Chi Phí Bán Hàng,Q1 2024,-142.51,AGG
Chi Phí Quản Lý Doanh Nghiệp,Q1 2024,-26.53,AGG
Lãi/(Lỗ) Từ Hoạt Động Kinh Doanh,Q1 2024,304.01,AGG
"Thu Nhập Khác, Ròng",Q1 2024,4.08,AGG
