CHỈ TIÊU,THỜI GIAN,GIÁ TRỊ,Mã Chứng Khoán
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,BVL
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,41.51,BVL
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-135.29,HQC
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-18.97,HQC
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,150.35,HQC
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-3.91,HQC
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,44.82,HQC
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,HQC
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,40.92,HQC
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-270.08,DXG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-22.87,DXG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,328.40,DXG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,35.45,DXG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,"1,069.65",DXG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,DXG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,"1,105.11",DXG
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,735.90,TCH
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-633.72,TCH
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-0.01,TCH
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,102.17,TCH
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,237.06,TCH
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,-0.00,TCH
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,339.23,TCH
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,52.70,DXS
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-27.05,DXS
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-52.08,DXS
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-26.42,DXS
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,421.98,DXS
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,DXS
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,395.56,DXS
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,44.97,DIG
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,425.34,DIG
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-591.71,DIG
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-121.39,DIG
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,"1,599.99",DIG
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,DIG
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,"1,478.59",DIG
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,-5.53,IDJ
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-6.07,IDJ
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,44.47,IDJ
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,32.88,IDJ
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,57.31,IDJ
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,IDJ
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,90.19,IDJ
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,6.13,MH3
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-304.56,MH3
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-57.11,MH3
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-355.53,MH3
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,363.26,MH3
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,0.00,MH3
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,7.73,MH3
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,16.74,CEO
Lưu Chuyển Tiền Tệ Ròng Từ Hoạt Động Đầu Tư,Q3 2024,-0.20,CEO
Lưu Chuyển Tiền Tệ Từ Hoạt Động Tài Chính,Q3 2024,-21.92,CEO
Lưu Chuyển Tiền Thuần Trong Kỳ,Q3 2024,-5.39,CEO
Tiền Và Tương Đương Tiền Đầu Kỳ,Q3 2024,"1,030.82",CEO
Ảnh Hưởng Của Chênh Lệch Tỷ Giá,Q3 2024,-0.07,CEO
Tiền Và Tương Đương Tiền Cuối Kỳ,Q3 2024,"1,025.35",CEO
Lưu Chuyển Tiền Tệ Ròng Từ Các Hoạt Động Sản Xuất Kinh Doanh,Q3 2024,65.15,IJC
